[2013-12-08 00:49:10,334]runtime:INFO: Running iteration 1 ...
[2013-12-08 00:49:10,361]runtime:INFO: Creating instances of Acceptor..
[2013-12-08 00:49:10,503]runtime:INFO: 20 instances of Acceptor created.
[2013-12-08 00:49:10,517]runtime:INFO: Creating instances of Replica..
[2013-12-08 00:49:10,611]runtime:INFO: 10 instances of Replica created.
[2013-12-08 00:49:10,623]runtime:INFO: Creating instances of Leader..
[2013-12-08 00:49:10,653]runtime:INFO: 5 instances of Leader created.
[2013-12-08 00:49:10,676]runtime:INFO: Creating instances of Client..
[2013-12-08 00:49:10,712]runtime:INFO: 5 instances of Client created.
[2013-12-08 00:49:10,731]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,735]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,752]runtime:INFO: Starting procs...
[2013-12-08 00:54:58,408]Client(('Latitude', 29417)):INFO: Received result 36:1611 time taken: 11.389260
[2013-12-08 00:55:02,005]Client(('Latitude', 38473)):INFO: Received result 36:1620 time taken: 8.790903
[2013-12-08 00:55:07,345]Client(('Latitude', 19526)):INFO: Received result 36:1629 time taken: 13.186814
[2013-12-08 00:55:07,679]Client(('Latitude', 26810)):INFO: Received result 34:1638 time taken: 11.183281
[2013-12-08 00:55:08,129]Client(('Latitude', 21586)):INFO: Received result 36:1647 time taken: 10.031469
[2013-12-08 00:55:11,367]Client(('Latitude', 29417)):INFO: Received result 37:1656 time taken: 12.952637
[2013-12-08 00:55:19,325]Client(('Latitude', 38473)):INFO: Received result 37:1665 time taken: 17.289577
[2013-12-08 00:55:22,254]Client(('Latitude', 19526)):INFO: Received result 37:1674 time taken: 14.886375
[2013-12-08 00:55:23,880]Client(('Latitude', 26810)):INFO: Received result 35:1683 time taken: 16.195024
[2013-12-08 00:55:27,254]Client(('Latitude', 21586)):INFO: Received result 37:1692 time taken: 19.119297
[2013-12-08 00:55:33,755]Client(('Latitude', 38473)):INFO: Received result 38:1701 time taken: 14.422611
[2013-12-08 00:55:34,065]Client(('Latitude', 29417)):INFO: Received result 38:1710 time taken: 22.691169
[2013-12-08 00:55:36,034]Client(('Latitude', 19526)):INFO: Received result 38:1719 time taken: 13.761685
[2013-12-08 00:55:36,175]Client(('Latitude', 26810)):INFO: Received result 36:1728 time taken: 12.287068
[2013-12-08 00:55:36,317]Client(('Latitude', 21586)):INFO: Received result 38:1737 time taken: 9.056699
[2013-12-08 00:55:45,013]Client(('Latitude', 29417)):INFO: Received result 39:1746 time taken: 10.940594
[2013-12-08 00:55:45,554]Client(('Latitude', 19526)):INFO: Received result 39:1755 time taken: 9.486884
[2013-12-08 00:55:46,197]Client(('Latitude', 26810)):INFO: Received result 37:1764 time taken: 10.016041
[2013-12-08 00:55:46,781]Client(('Latitude', 21586)):INFO: Received result 39:1773 time taken: 10.456664
[2013-12-08 00:55:46,889]Client(('Latitude', 38473)):INFO: Received result 39:1782 time taken: 13.097217
[2013-12-08 00:55:48,839]Client(('Latitude', 29417)):INFO: Received result 40:1791 time taken: 3.777894
[2013-12-08 00:55:50,330]Client(('Latitude', 19526)):INFO: Received result 40:1800 time taken: 4.768725
[2013-12-08 00:55:50,539]Client(('Latitude', 26810)):INFO: Received result 38:1809 time taken: 4.335761
[2013-12-08 00:55:51,931]Client(('Latitude', 21586)):INFO: Received result 40:1818 time taken: 5.137941
[2013-12-08 00:55:52,083]Client(('Latitude', 38473)):INFO: Received result 40:1827 time taken: 5.187212
[2013-12-08 00:55:54,394]Client(('Latitude', 29417)):INFO: Received result 41:1836 time taken: 5.547553
[2013-12-08 00:55:56,520]Client(('Latitude', 19526)):INFO: Received result 41:1845 time taken: 6.152239
[2013-12-08 00:55:56,628]Client(('Latitude', 26810)):INFO: Received result 39:1854 time taken: 6.070555
[2013-12-08 00:55:56,773]Client(('Latitude', 21586)):INFO: Received result 41:1863 time taken: 4.835667
[2013-12-08 00:55:58,081]Client(('Latitude', 38473)):INFO: Received result 41:1872 time taken: 5.979254
[2013-12-08 00:55:58,160]Client(('Latitude', 29417)):INFO: Received result 42:1881 time taken: 3.733947
[2013-12-08 00:56:01,095]Client(('Latitude', 19526)):INFO: Received result 42:1890 time taken: 4.487789
[2013-12-08 00:56:03,411]Client(('Latitude', 26810)):INFO: Received result 40:1899 time taken: 6.774913
[2013-12-08 00:56:03,601]Client(('Latitude', 21586)):INFO: Received result 42:1908 time taken: 6.778580
[2013-12-08 00:56:03,743]Client(('Latitude', 38473)):INFO: Received result 42:1917 time taken: 5.655894
[2013-12-08 00:56:04,710]Client(('Latitude', 29417)):INFO: Received result 43:1926 time taken: 6.543663
[2013-12-08 00:56:07,562]Client(('Latitude', 19526)):INFO: Received result 43:1935 time taken: 6.450386
[2013-12-08 00:56:08,516]Client(('Latitude', 26810)):INFO: Received result 41:1944 time taken: 5.029470
[2013-12-08 00:56:08,567]Client(('Latitude', 21586)):INFO: Received result 43:1953 time taken: 4.959566
[2013-12-08 00:56:08,704]Client(('Latitude', 38473)):INFO: Received result 43:1962 time taken: 4.954720
[2013-12-08 00:56:09,654]Client(('Latitude', 29417)):INFO: Received result 44:1971 time taken: 4.924806
[2013-12-08 00:56:12,057]Client(('Latitude', 19526)):INFO: Received result 44:1980 time taken: 4.432929
[2013-12-08 00:56:12,149]Client(('Latitude', 26810)):INFO: Received result 42:1989 time taken: 3.621099
[2013-12-08 00:56:12,883]Client(('Latitude', 21586)):INFO: Received result 44:1998 time taken: 4.309949
[2013-12-08 00:56:12,969]Client(('Latitude', 38473)):INFO: Received result 44:2007 time taken: 4.257133
